casting_id,date,shift,mold_id,melting_id,batch_code,pour_temperature_c,cooling_rate_k_per_min,holding_time_min,gas_content_ppm,weight_kg,hardness_hb,avg_dimension_mm,porosity_pores_per_cm2,ultrasonic_signal_db,is_defect,defect_type,time_of_day
1158,2025-01-02 04:24:35.092648800,3,12,11,B011,1456.6924166755225,2.6531787507225464,15.365536976214212,7.594077019169944,11.903039262877089,219.5667794747987,0.0174659912689979,0.6114123664897757,-33.76969826250285,0,none,4.4
1837,2025-01-02 06:32:35.462349599,3,3,32,B032,1443.3462480523056,2.384358707097897,11.97630524410759,8.066923571477982,12.116230714460134,205.55983823503288,-0.1472419120342336,0.3861551052002844,-38.40104364155174,0,none,6.533333333333333
3503,2025-01-02 09:44:51.071406000,2,1,2,B002,1465.708314706735,2.9924169397084266,18.3281735001238,8.346781153096332,12.165713231795314,232.14387807245328,-0.0277621158937843,0.6436428746768542,-36.93366958488125,0,none,9.733333333333333
3151,2025-01-02 17:37:24.410128800,1,7,34,B034,1460.2282724849256,4.365336704107439,12.795539356934354,8.226424843726006,11.45369241402127,245.0824375145604,-0.198420827591226,0.367595942702056,-37.29048324972804,1,crack,17.616666666666667
4642,2025-01-02 22:00:28.118869200,1,10,19,B019,1461.8060678213965,2.71319869195622,14.436927948313867,5.448210774518194,11.878908654320234,217.0912446194532,-0.2007481762414221,0.3417367752234174,-38.11976546620664,0,none,22.0
2880,2025-01-03 00:46:03.855432000,2,12,34,B034,1448.9502623450892,3.1718980469118776,14.904243837916583,8.720284233773096,12.052108853402022,239.7000909438177,0.1509637010323969,0.3789456336659533,-37.32060033558002,0,none,0.7666666666666667
3453,2025-01-03 00:52:28.009153200,1,11,27,B027,1452.9648797431626,2.2740104316386534,15.465017982437567,11.123968730417577,12.000099019683994,213.4449679976517,-0.0458064891798371,0.5887146160372602,-34.04763546566199,1,porosity,0.8666666666666667
1221,2025-01-03 04:06:52.160338800,2,7,24,B024,1428.7713468132256,2.2982429956943524,13.701381473833033,8.738344892054366,11.999642692228672,203.992061773377,-0.0310061534289207,0.5754233801952737,-36.95389087704269,0,none,4.1
744,2025-01-03 11:16:05.881850400,3,1,1,B001,1461.6267862168522,3.326770558422332,13.017986934396983,8.186486717446819,11.921087609735151,230.99279984968123,-0.2523217632579645,0.5727504052248097,-36.29271308192113,0,none,11.266666666666667
4553,2025-01-04 04:27:09.423396000,1,5,14,B014,1468.643478303194,3.105499470394672,12.163912341006274,6.171212274098977,12.019812673640736,235.40743097531956,0.0580469429211081,0.6150908224185896,-37.48346590289369,0,none,4.45
741,2025-01-04 05:44:33.257583600,2,11,26,B026,1451.1445952646566,1.4921369437523926,16.793407278731458,6.82488201432257,11.828997570310502,201.5595513123209,-0.2692984210995758,0.6886375308429412,-36.016090077888165,0,none,5.733333333333333
3877,2025-01-04 17:21:48.168460800,2,4,20,B020,1457.2797870867105,3.1667780196281887,14.6314342671989,6.542162037889617,12.48754890187131,217.5581701432998,0.0704901042535984,0.3720366550497664,-32.84381417261158,0,none,17.35
4419,2025-01-05 06:33:39.042316800,2,6,16,B016,1440.2178757972963,2.6844160989004062,13.64055385919117,8.738060199211864,12.122094853323077,226.42649816886745,0.0043415759084329,0.6728179445265543,-32.30676673283695,0,none,6.55
998,2025-01-05 09:44:20.312689200,1,3,27,B027,1468.4410414338845,4.437570198535277,10.493791459615643,7.320946213346536,12.424479164259452,250.0002273520284,-0.1621465044162262,0.7273178960656151,-33.704683568860275,0,none,9.733333333333333
3492,2025-01-05 17:02:47.806882800,1,8,37,B037,1435.0147312595582,3.246796086979873,17.861789635745435,9.336262028333088,12.447247656698709,231.3720710213563,0.3676422407555142,0.6112728846230577,-31.926209487348604,0,none,17.033333333333335
2731,2025-01-06 02:57:15.202058400,3,7,28,B028,1433.6238462333422,3.873287882505928,18.43809446692651,5.675945749797666,12.086526672534722,236.6372446391341,0.1534145578258652,0.3898613347662079,-39.00274930271902,0,none,2.95
4315,2025-01-06 18:14:23.028464400,3,6,2,B002,1447.861433204791,1.8383904729322176,17.25536075955566,10.070472682080617,12.012231769139706,215.7666562823737,-0.1457409332591125,0.7793720682916032,-34.5059951921333,0,none,18.23333333333333
3207,2025-01-07 18:13:18.388952400,2,4,40,B040,1463.9118264283366,2.8479208612442632,11.491881514962092,6.199425090788727,12.253990176654025,230.08434358912325,0.0261083346821528,0.6186197909713744,-42.15419767556146,0,none,18.216666666666665
2585,2025-01-08 06:13:37.645194000,3,3,35,B035,1447.1732097209847,2.6643431661599584,9.697242464981423,6.394912223284167,12.828071537034443,220.37199579273383,-0.0122770871129204,0.5584164129250027,-36.78866801906046,0,none,6.216666666666667
3606,2025-01-08 10:56:11.823100800,2,3,29,B029,1439.0571514569012,2.64139313661965,13.427332089274618,6.545466113909029,11.928196132416268,211.83008357135608,-0.1416832688905738,0.5362964190369024,-39.47865642443649,0,none,10.933333333333334
811,2025-01-08 11:07:42.688128000,2,5,6,B006,1445.7833905935677,2.5091261932205504,16.528163053598306,10.052664851169766,11.410212497267596,214.30639550552135,0.0909844992760121,0.5366757635281711,-35.5403381359375,0,none,11.116666666666667
1617,2025-01-09 00:00:34.231838400,2,8,23,B023,1448.070225106546,5.0,15.546049195587324,9.765327447999022,12.249912353400246,251.29125799530092,-0.3166825889501315,0.5812146085041093,-37.47422281156679,0,none,0.0
3179,2025-01-09 02:30:30.417969600,1,9,33,B033,1451.7923623884394,2.53778925438006,13.603975394549725,8.254149763727884,12.182652658423304,213.3055494762257,-0.0940518035911887,0.6376667976293124,-36.44321879905432,0,none,2.5
4773,2025-01-09 04:07:11.374438800,2,3,15,B015,1450.2918086204747,4.529664451543479,15.272960928858192,6.725680959798444,12.47460269597094,251.2305425009474,-0.0441193387939078,0.3455459018726061,-40.607728529472176,0,none,4.116666666666666
647,2025-01-09 08:24:19.430614800,2,6,33,B033,1456.012572440553,3.8988402412227536,14.01350290098494,9.2263793716741,12.091674927072509,241.1749970269128,0.1192528136501538,0.5620019986223431,-36.73649090695573,0,none,8.4
1314,2025-01-09 13:31:55.596115199,3,11,28,B028,1465.9920604434014,1.5845922478032053,13.845919924224614,10.087662269244683,11.991101478286785,207.12999538695297,0.2003592013065859,0.4398789783825857,-40.168996545246685,1,hardness,13.516666666666667
775,2025-01-09 18:49:41.425654800,1,5,35,B035,1451.250131103186,3.0818170711148603,16.537504709216638,9.865012962196946,12.198971482317344,233.4759364651039,-0.1028615290854152,0.4903796495663421,-35.23129720426414,0,none,18.816666666666663
2299,2025-01-09 23:50:13.171120800,3,1,21,B021,1450.6145789117686,3.6708006724897806,17.077152593111116,6.592618028089568,12.58927345557597,237.2266561271239,0.087384865992272,0.3022531193254012,-35.03686925603932,0,none,23.83333333333333
3038,2025-01-10 05:21:01.802595600,1,9,10,B010,1460.4282846689105,1.8022024800295464,15.541199482269802,7.950534117641243,12.061517571242108,206.03296262889205,0.1364944877388092,0.6431110071671926,-37.58993090227774,0,none,5.35
423,2025-01-11 00:34:07.803696000,3,5,20,B020,1442.8052163899438,2.0648303658194385,14.668945318277428,9.685855295622808,11.652880123244865,225.91433650929676,-0.1240517240267679,0.5563886279704051,-37.636561103409576,0,none,0.5666666666666667
1323,2025-01-11 02:26:17.885961600,2,7,14,B014,1442.329704345654,2.6250697528899494,15.138698061909004,8.374603926013929,11.631830239821523,224.3054333106964,-0.1273054344071873,0.8463002225929332,-37.81343005968065,0,none,2.4333333333333336
4775,2025-01-12 03:42:38.376097200,3,7,11,B011,1446.13593428257,1.923285512882283,16.731733141100648,7.377967327775513,12.438913031245733,218.78235351680985,0.0734462155422976,0.8068253804382637,-40.97890946818749,0,none,3.7
4156,2025-01-12 15:13:29.138725200,3,9,40,B040,1467.552755527142,2.0213044317313025,20.397661823879098,9.726028467118645,11.946956640069727,228.5959931817839,-0.1403482677041009,0.3342662021195107,-36.50724119259127,0,none,15.216666666666669
3463,2025-01-13 08:07:18.753088800,2,8,33,B033,1434.847703386661,2.200388425404085,17.955931699549186,8.966739668627072,11.535140978459312,209.6653224136344,-0.0729115814974675,0.4678033810977072,-37.81211481447515,0,none,8.116666666666667
4991,2025-01-13 15:07:48.276058800,3,12,5,B005,1449.6885772420271,3.396692638820544,13.615745334617088,5.72530188938876,11.791395346459206,244.6198302863331,0.0298023693158444,0.4810529749720671,-39.03085874296177,0,none,15.116666666666667
3439,2025-01-14 00:05:14.280511200,2,9,22,B022,1447.0946477170671,3.39646690699586,14.665264337061704,8.64347685081766,12.82055008408005,231.3188276271173,-0.0765979447080649,0.2040688985720561,-40.677418124830005,0,none,0.0833333333333333
595,2025-01-14 09:59:04.242688800,2,11,35,B035,1438.5626943709926,3.247476424903511,18.406916076004038,5.389679179720574,12.590166221050094,251.27975792280648,0.0738819124573196,0.3882761717704472,-34.372038773724974,1,porosity,9.983333333333333
